district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model,errors_short,gun_owner_fraction_right_only,for_assault_weapon_ban_True_full_sample_mean,for_assault_weapon_ban_True_full_sample_stderr,for_large_magazine_ban_True_full_sample_mean,for_large_magazine_ban_True_full_sample_stderr,for_background_checks_True_full_sample_mean,for_background_checks_True_full_sample_stderr,for_safe_storage_laws_True_full_sample_mean,for_safe_storage_laws_True_full_sample_stderr
CA-39,23.33524,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.2783238,0.5116762,0.0,0.0,house,baseline,None,0.16505825291264564,0.7401870093504676,0.03843901316089402,0.6909595479773989,0.04050466509183665,0.8733436671833592,0.02915258777255803,0.8373418670933547,0.032348963050288095
CA-40,-3.841196,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.41420598,0.37579402,0.0,0.0,house,baseline,None,0.18430921546077303,0.6922346117305865,0.04045829835594178,0.6448822441122056,0.04194666838560671,0.8595429771488574,0.03045626178225449,0.8172658632931646,0.03387369646886324
CA-41,-6.348963,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.426744815,0.363255185,0.0,0.0,house,baseline,None,0.18090904545227263,0.7070103505175258,0.03989423064788974,0.652107605380269,0.04174968173680996,0.8636681834091705,0.030077597305873928,0.8218160908045402,0.03354228391899303
CA-42,43.72557,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.17637215,0.61362785,0.0,0.0,house,baseline,None,0.1497074853742687,0.7689884494224711,0.036944332566696485,0.7204610230511526,0.039336661637465443,0.875968798439922,0.02889221667933362,0.8503675183759187,0.0312670810950102
CA-43,63.03647,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.07981765,0.71018235,0.0,0.0,house,baseline,None,0.1433071653582679,0.7783139156957848,0.036409748837651544,0.7373868693434671,0.03857242893907312,0.8708185409270464,0.02939916498956103,0.8570928546427321,0.030676935872260207
CA-44,47.29814,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.1585093,0.6314907,0.0,0.0,house,baseline,None,0.1528576428821441,0.7698134906745338,0.03689807944184872,0.7261113055652783,0.0390894645516401,0.8738186909345467,0.029105780414231917,0.8577928896444822,0.03061420218059654
CA-45,4.789704,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.37105148,0.41894852,0.0,0.0,house,baseline,None,0.1727086354317716,0.719385969298465,0.03938281376789262,0.6638581929096454,0.041406640347536196,0.8636181809090455,0.030082241738182445,0.8251912595629781,0.03329123838772857
CA-46,29.68361,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.24658195,0.54341805,0.0,0.0,house,baseline,None,0.1672083604180209,0.7515125756287815,0.03787838052486127,0.6986599329966499,0.04021910744641702,0.8722686134306715,0.02925802491051107,0.8511175558777939,0.031202370430595153
CA-47,6.151937,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.364240315,0.425759685,0.0,0.0,house,baseline,None,0.1751587579378969,0.7229111455572779,0.0392304290659547,0.6779838991949598,0.04095619035554113,0.8610930546527327,0.03031503631779436,0.8327666383319166,0.0327110276674408
CA-48,-18.60836,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.4880418,0.3019582,0.0,0.0,house,baseline,None,0.1880594029701485,0.6930846542327116,0.040427185998964686,0.6424071203560178,0.04201174042325399,0.8472423621181059,0.031533804257576396,0.8175158757937897,0.03385569321004598
CA-49,5.716237,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.366418815,0.423581185,0.0,0.0,house,baseline,None,0.16840842042102105,0.71893594679734,0.0394020502991846,0.6686334316715836,0.04125907223387824,0.8610680534026701,0.030317324199058346,0.8384419220961048,0.03226055989338381
CA-50,27.5448,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.257276,0.532724,0.0,0.0,house,baseline,None,0.15700785039251963,0.7409620481024051,0.038401726485758125,0.6947347367368368,0.04036633036268089,0.864193209660483,0.030028748774216026,0.8386169308465423,0.03224644682540548
CA-51,22.2579,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.2837105,0.5062895000000001,0.0,0.0,house,baseline,None,0.16660833041652082,0.7384119205960298,0.03852382429359276,0.6936346817340867,0.040406968495304,0.8673683684184209,0.029730103101458374,0.8341917095854793,0.03259921367825415
CA-52,36.35247,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.21323765,0.57676235,0.0,0.0,house,baseline,None,0.15590779538976948,0.7495874793739687,0.03797609026429284,0.7032601630081504,0.04004211463057341,0.8704935246762338,0.029430631670466185,0.8474673733686684,0.03151475515199634
