district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model
IA-2,-5.458609,Iowa,0.41,0.19,0.4,330.0,0.385,0.032,0.385,0.615,0.385,0.615,0.19,0.43229304500000004,0.377706955,0.0,1.0,house,right_only
IA-3,-2.251076,Iowa,0.41,0.19,0.4,330.0,0.385,0.032,0.385,0.615,0.385,0.615,0.19,0.41625538,0.39374462000000005,0.0,1.0,house,right_only
IA-4,-27.31831,Iowa,0.41,0.19,0.4,330.0,0.385,0.032,0.385,0.615,0.385,0.615,0.19,0.54159155,0.26840845,0.0,1.0,house,right_only
ID-1,-45.50601,Idaho,0.49,0.19,0.32,320.0,0.578,0.032,0.578,0.42200000000000004,0.578,0.42200000000000004,0.19,0.6325300500000001,0.17746995000000002,2.220446049250313e-16,1.0,house,right_only
ID-2,-26.67605,Idaho,0.49,0.19,0.32,320.0,0.578,0.032,0.578,0.42200000000000004,0.578,0.42200000000000004,0.19,0.53838025,0.27161975000000005,0.0,1.0,house,right_only
IL-1,40.62955,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.19,0.20185225,0.6081477500000001,0.0,1.0,house,right_only
IL-2,36.84659,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.19,0.22076705000000002,0.58923295,0.0,1.0,house,right_only
IL-3,38.57446,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.19,0.21212770000000003,0.5978723,0.0,1.0,house,right_only
IL-4,43.97005,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.19,0.18514975000000003,0.62485025,0.0,1.0,house,right_only
IL-5,35.36106,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.19,0.22819470000000003,0.5818053000000001,0.0,1.0,house,right_only
IL-6,6.162658,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.19,0.37418671000000003,0.43581329,0.0,1.0,house,right_only
IL-7,70.00192,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.19,0.05499040000000005,0.7550096,0.0,1.0,house,right_only
IL-8,11.67969,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.19,0.34660155000000004,0.46339845,0.0,1.0,house,right_only
IL-9,37.83539,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.19,0.21582305000000004,0.59417695,0.0,1.0,house,right_only
IL-10,20.95613,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.19,0.30021935,0.5097806500000001,0.0,1.0,house,right_only
IL-11,9.961191,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.19,0.355194045,0.45480595500000004,0.0,1.0,house,right_only
IL-12,-46.41387,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.19,0.63706935,0.17293065000000002,0.0,1.0,house,right_only
