district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model
FL-24,50.99162,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.24504190000000003,0.7549581,0.0,0.0,house,without_center
FL-25,17.96772,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.4101614,0.5898386,0.0,0.0,house,without_center
FL-26,-13.60448,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.5680224,0.4319776,0.0,0.0,house,without_center
FL-27,0.8268887,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.4958655565,0.5041344435,0.0,0.0,house,without_center
FL-28,-3.899812,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.51949906,0.48050094,0.0,0.0,house,without_center
GA-1,-19.51325,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.0,0.59756625,0.40243375000000003,0.0,0.0,house,without_center
GA-2,4.303485,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.0,0.478482575,0.521517425,0.0,0.0,house,without_center
GA-3,-37.72735,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.0,0.68863675,0.31136325,0.0,0.0,house,without_center
GA-4,50.03138,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.0,0.24984309999999998,0.7501569,0.0,0.0,house,without_center
GA-5,59.93855,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.0,0.20030725,0.79969275,0.0,0.0,house,without_center
GA-6,-24.23505,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.0,0.6211752500000001,0.37882475,0.0,0.0,house,without_center
GA-7,16.06375,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.0,0.41968125,0.58031875,0.0,0.0,house,without_center
GA-8,-34.56982,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.0,0.6728491,0.3271509,0.0,0.0,house,without_center
GA-9,-46.10865,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.0,0.73054325,0.26945675,0.0,0.0,house,without_center
GA-10,-31.15672,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.0,0.6557836,0.3442164,0.0,0.0,house,without_center
GA-11,-24.05728,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.0,0.6202864,0.3797136,0.0,0.0,house,without_center
GA-12,-16.87351,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.0,0.58436755,0.41563245,0.0,0.0,house,without_center
GA-13,52.45722,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.0,0.23771389999999998,0.7622861000000001,0.0,0.0,house,without_center
GA-14,-45.16958,Georgia,0.41,0.18,0.41,968.0,0.377,0.028,0.377,0.623,0.377,0.623,0.0,0.7258479,0.2741521,0.0,0.0,house,without_center
HI-1,31.94248,Hawaii,0.28,0.2,0.51,312.0,0.091,0.032,0.091,0.909,0.091,0.909,0.0,0.3402876,0.6597124,0.0,0.0,house,without_center
HI-2,31.68955,Hawaii,0.28,0.2,0.51,312.0,0.091,0.032,0.091,0.909,0.091,0.909,0.0,0.34155225,0.65844775,0.0,0.0,house,without_center
IA-1,-3.941143,Iowa,0.41,0.19,0.4,330.0,0.385,0.032,0.385,0.615,0.385,0.615,0.0,0.519705715,0.480294285,0.0,0.0,house,without_center
IA-2,-5.458609,Iowa,0.41,0.19,0.4,330.0,0.385,0.032,0.385,0.615,0.385,0.615,0.0,0.527293045,0.472706955,0.0,0.0,house,without_center
IA-3,-2.251076,Iowa,0.41,0.19,0.4,330.0,0.385,0.032,0.385,0.615,0.385,0.615,0.0,0.51125538,0.48874462,0.0,0.0,house,without_center
IA-4,-27.31831,Iowa,0.41,0.19,0.4,330.0,0.385,0.032,0.385,0.615,0.385,0.615,0.0,0.63659155,0.36340845,0.0,0.0,house,without_center
ID-1,-45.50601,Idaho,0.49,0.19,0.32,320.0,0.578,0.032,0.578,0.42200000000000004,0.578,0.42200000000000004,0.0,0.72753005,0.27246994999999996,0.0,0.0,house,without_center
ID-2,-26.67605,Idaho,0.49,0.19,0.32,320.0,0.578,0.032,0.578,0.42200000000000004,0.578,0.42200000000000004,0.0,0.63338025,0.36661975,0.0,0.0,house,without_center
IL-1,40.62955,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.29685225,0.7031477500000001,0.0,0.0,house,without_center
IL-2,36.84659,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.31576705,0.68423295,0.0,0.0,house,without_center
IL-3,38.57446,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.3071277,0.6928723,0.0,0.0,house,without_center
IL-4,43.97005,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.28014975,0.71985025,0.0,0.0,house,without_center
IL-5,35.36106,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.3231947,0.6768053,0.0,0.0,house,without_center
IL-6,6.162658,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.46918671,0.53081329,0.0,0.0,house,without_center
IL-7,70.00192,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.14999040000000002,0.8500095999999999,0.0,0.0,house,without_center
IL-8,11.67969,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.44160155,0.55839845,0.0,0.0,house,without_center
IL-9,37.83539,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.31082305,0.68917695,0.0,0.0,house,without_center
IL-10,20.95613,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.39521934999999997,0.60478065,0.0,0.0,house,without_center
IL-11,9.961191,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.450194045,0.549805955,0.0,0.0,house,without_center
IL-12,-46.41387,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.73206935,0.26793065,0.0,0.0,house,without_center
IL-13,6.505558,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.46747221,0.5325277900000001,0.0,0.0,house,without_center
IL-14,6.49219,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.46753905,0.53246095,0.0,0.0,house,without_center
IL-15,-42.4285,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.7121425,0.2878575,0.0,0.0,house,without_center
IL-16,-25.93611,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.62968055,0.37031945,0.0,0.0,house,without_center
IL-17,3.546824,Illinois,0.33,0.19,0.48,1326.0,0.226,0.028,0.226,0.774,0.226,0.774,0.0,0.48226588,0.51773412,0.0,0.0,house,without_center
